KEY,KEY_new
primary_use_住商用,primary_use_residential_commercial
primary_use_住家用,primary_use_residential
primary_use_住工用,primary_use_residential_industrial
primary_use_其他,primary_use_others
primary_use_商業用,primary_use_commercial
primary_use_商辦用,primary_use_commercial_office
primary_use_工商用,primary_use_industrial_commercial
primary_use_工業用,primary_use_industrial
primary_use_辦公用,primary_use_office
primary_use_農業用,primary_use_agricultural
property_type_住宅大樓(11層含以上有電梯),property_type_residential_building_with_elevator
property_type_公寓(5樓含以下無電梯),property_type_apartment_without_elevator
property_type_廠辦,property_type_factory_office
property_type_華廈(10層含以下有電梯),property_type_mansion_with_elevator
property_type_透天厝,property_type_detached_house
